mode,primaryFuelType,primaryFuel
bike,Gasoline,320920315.9318
bus,Diesel,1142981156028.3574
bus_empty,Diesel,1211106776711.5427
car,Electricity,2091795595.091167
car,Gasoline,2982486844477.94
car_RideHail,Electricity,23656323.691704802
car_RideHail,Gasoline,66684265082.697014
car_RideHail_Pool,Electricity,12733369.943141025
car_RideHail_Pool,Gasoline,1131040843.495661
car_RideHail_empty,Electricity,35271518.68040661
car_RideHail_empty,Gasoline,24753337022.02288
car_emer,Gasoline,119492875866.72952
car_hov2,Electricity,181884918.47508264
car_hov2,Gasoline,426659225496.1756
car_hov2_emer,Gasoline,35323472936.0264
car_hov3,Electricity,170343945.8486791
car_hov3,Gasoline,297143690879.1349
car_hov3_emer,Gasoline,26606360534.389458
rail,Diesel,0.0
rail_empty,Diesel,0.0
subway,Electricity,0.0
subway_empty,Electricity,0.0
tram,Electricity,0.0
tram_empty,Electricity,0.0
walk,Food,5786517899.742
