mode,primaryFuelType,primaryFuel
bike,Gasoline,376668566.6958
bus,Diesel,1625579307239.017
bus_empty,Diesel,1669430511813.522
cable_car,Electricity,0.0
cable_car_empty,Electricity,0.0
car,Electricity,3007338996.1804442
car,Gasoline,4371948148641.6973
car_RideHail,Electricity,75779020.58689657
car_RideHail,Gasoline,104679750210.05685
car_RideHail_Pool,Gasoline,1124172506.389074
car_RideHail_empty,Electricity,28518106.83476352
car_RideHail_empty,Gasoline,31486510893.564262
car_emer,Gasoline,179879609820.05908
car_hov2,Electricity,456130436.44245446
car_hov2,Gasoline,614803109552.3994
car_hov2_emer,Gasoline,50159176125.89084
car_hov3,Electricity,239821700.8441646
car_hov3,Gasoline,433650270580.2906
car_hov3_emer,Gasoline,37185225646.037445
ferry,Diesel,0.0
ferry_empty,Diesel,0.0
rail,Diesel,0.0
rail_empty,Diesel,0.0
subway,Electricity,0.0
subway_empty,Electricity,0.0
tram,Electricity,0.0
tram_empty,Electricity,0.0
walk,Food,8701770503.307
