mode,primaryFuelType,primaryFuel
bike,Gasoline,325644772.6714
bus,Diesel,1141987728718.8987
bus_empty,Diesel,1212100204021.0017
car,Electricity,2323457913.4395924
car,Gasoline,3123711532315.752
car_RideHail,Electricity,50375117.72788698
car_RideHail,Gasoline,66737063794.27962
car_RideHail_Pool,Gasoline,972947097.1098921
car_RideHail_empty,Electricity,19623901.758888964
car_RideHail_empty,Gasoline,24362012096.55762
car_emer,Gasoline,129030001849.8445
car_hov2,Electricity,373660233.017501
car_hov2,Gasoline,436587348148.53033
car_hov2_emer,Gasoline,34919271963.72316
car_hov3,Electricity,128363288.62956636
car_hov3,Gasoline,292905920378.14465
car_hov3_emer,Gasoline,24000917982.378155
rail,Diesel,0.0
rail_empty,Diesel,0.0
subway,Electricity,0.0
subway_empty,Electricity,0.0
tram,Electricity,0.0
tram_empty,Electricity,0.0
walk,Food,5692405818.928
