mode,primaryFuelType,primaryFuel
bike,Gasoline,245400132.5506
bus,Diesel,611076803021.3074
bus_empty,Diesel,555907118403.3059
cable_car,Electricity,0.0
cable_car_empty,Electricity,0.0
car,Electricity,893241624.0959166
car,Gasoline,1577105423335.164
car_RideHail,Electricity,46558243.89347536
car_RideHail,Gasoline,56273885930.03543
car_RideHail_Pool,Gasoline,324383654.01408297
car_RideHail_empty,Electricity,13154356.81602904
car_RideHail_empty,Gasoline,13451892010.912407
car_emer,Gasoline,63909424395.25284
car_hov2,Electricity,108937265.43670614
car_hov2,Gasoline,228413884361.88675
car_hov2_emer,Gasoline,18519000452.06059
car_hov3,Electricity,140439388.8116363
car_hov3,Gasoline,181640009101.7986
car_hov3_emer,Gasoline,15537427359.41068
ferry,Diesel,0.0
ferry_empty,Diesel,0.0
rail,Diesel,0.0
rail_empty,Diesel,0.0
subway,Electricity,0.0
subway_empty,Electricity,0.0
tram,Electricity,0.0
tram_empty,Electricity,0.0
walk,Food,4590025372.589
