mode,duration
bike,708.490724784592
bus,73.30718545240374
bus_empty,78.43044072543006
cable_car,47.872316525212185
cable_car_empty,45.49745521172638
car,391.1906332647356
car_RideHail,435.1405340636768
car_RideHail_Pool,312.0990990990991
car_RideHail_empty,161.8388888888889
car_emer,360.87857142857143
car_hov2,408.49777577397055
car_hov2_emer,431.8921493902439
car_hov3,402.49573448163795
car_hov3_emer,442.3201235203294
ferry,3600.0
ferry_empty,1691.3793103448277
rail,518.4905660377359
rail_empty,430.0
subway,171.69174461163075
subway_empty,190.0
tram,99.7310443490701
tram_empty,99.46281485018503
walk,770.8630059499502
