mode,length
bike,3268.501569171695
bus,435.45969489217316
bus_empty,468.97934748447796
cable_car,118.3336807098412
cable_car_empty,120.00539542347899
car,7882.905790424928
car_RideHail,8773.695680516266
car_RideHail_Pool,4527.570012195122
car_RideHail_empty,2692.64495235426
car_emer,7253.884495360742
car_hov2,8333.304016621045
car_hov2_emer,8619.7941771261
car_hov3,8091.691926842465
car_hov3_emer,8105.890053463505
ferry,31754.85974344332
ferry_empty,11736.832916123116
rail,7985.38245389483
rail_empty,6159.316478762476
subway,2362.0069821334146
subway_empty,2348.535043567507
tram,495.29957781271617
tram_empty,391.25119847811163
walk,1006.2094870470625
