mode,length
bike,3755.754829571277
bus,416.2788763473054
bus_empty,473.24742404838395
car,7324.203428778451
car_RideHail,7419.713363448098
car_RideHail_Pool,4440.838223880597
car_RideHail_empty,3060.461703856344
car_emer,6676.558082667554
car_hov2,7376.024717985247
car_hov2_emer,7578.333829795159
car_hov3,7120.693653896529
car_hov3_emer,7206.7525137614675
rail,5726.609253075419
rail_empty,6159.316478762476
subway,2095.407452520478
subway_empty,2278.622879339475
tram,475.8089980271397
tram_empty,391.0403918780011
walk,980.2552164999761
