mode,length
bike,3288.2088238064307
bus,548.0003737036484
bus_empty,502.08297773845163
cable_car,118.3336807098412
cable_car_empty,120.00539542347899
car,8320.4984777486
car_RideHail,8977.028570550261
car_RideHail_Pool,4868.32206451613
car_RideHail_empty,2307.3307378277154
car_emer,7963.384064195485
car_hov2,9694.93722854277
car_hov2_emer,10323.255311070448
car_hov3,9491.737681845658
car_hov3_emer,9332.491066073697
ferry,31754.85974344332
ferry_empty,11736.832916123116
rail,7945.923714186142
rail_empty,2099.8602074730934
subway,2394.5922303324437
subway_empty,2300.1599455967303
tram,602.7553821691403
tram_empty,423.83733431996876
walk,1161.792980060328
