mode,length
bike,3542.4631141409022
bus,433.36758114134267
bus_empty,474.05636613215097
cable_car,118.16222300099548
cable_car_empty,120.18045284499719
car,7780.544376450716
car_RideHail,8052.790048271139
car_RideHail_Pool,4958.69645045045
car_RideHail_empty,2546.5049329749104
car_emer,7148.125373428572
car_hov2,8024.3281125338135
car_hov2_emer,8589.76292035061
car_hov3,7861.409725097498
car_hov3_emer,8731.194116829645
ferry,35512.30827785118
ferry_empty,11758.053332593478
rail,7841.094880797115
rail_empty,6086.449825170358
subway,2360.028604974831
subway_empty,2427.482477177164
tram,488.6548520264096
tram_empty,392.63349023441714
walk,1028.2154333832748
