mode,length
bike,4019.367066825776
bus,414.9189239147672
bus_empty,479.9287124327008
car,7433.1980918301515
car_RideHail,7052.239927497575
car_RideHail_Pool,5322.382967391304
car_RideHail_empty,2805.4839890948747
car_emer,6660.357136048527
car_hov2,7246.274044179992
car_hov2_emer,7513.776959848843
car_hov3,6911.230091281421
car_hov3_emer,7604.338776859504
rail,5898.762813393109
rail_empty,5700.416249725002
subway,2097.087144949532
subway_empty,2261.057701246489
tram,470.5969332077657
tram_empty,392.67113711335054
walk,977.7449607415739
