mode,length
bike,3533.836760112447
bus,542.5149289219512
bus_empty,504.38864096018153
cable_car,118.16222300099548
cable_car_empty,120.18045284499719
car,8030.162705753911
car_RideHail,8274.404250160771
car_RideHail_Pool,4425.059297872341
car_RideHail_empty,2335.8464668415136
car_emer,7909.928376273217
car_hov2,9509.222926047321
car_hov2_emer,10824.558113854595
car_hov3,9643.437770308483
car_hov3_emer,11142.95036936937
ferry,35512.30827785118
ferry_empty,11758.053332593478
rail,7422.100009913503
rail_empty,3348.002700788354
subway,2391.254748402415
subway_empty,2561.005123522564
tram,589.9667341214034
tram_empty,426.13912634516544
walk,1224.8958792623391
