mode,length
bike,3589.973475734033
bus,435.5205982164122
bus_empty,471.5379462010122
cable_car,118.3817007778896
cable_car_empty,120.04636071708713
car,8114.922210038293
car_RideHail,8550.409755555556
car_RideHail_Pool,5132.2715
car_RideHail_empty,2574.038548158361
car_emer,7714.875503853106
car_hov2,8528.445840634417
car_hov2_emer,8886.30380204242
car_hov3,8085.619302838859
car_hov3_emer,9484.412585407239
ferry,31012.879507193356
ferry_empty,11814.93609888627
rail,7893.75391068314
rail_empty,5961.234625674243
subway,2359.685196212384
subway_empty,2445.1161354253336
tram,489.23251172084446
tram_empty,392.512312251022
walk,1018.8598122237131
