mode,length
bike,24791737.63
bus,52834114.986
bus_empty,66589698.543000005
car,1359555261.467
car_RideHail,28662352.723
car_RideHail_Pool,297536.161
car_RideHail_empty,10396388.408
car_emer,60169141.441
car_hov2,232986492.767
car_hov2_emer,20347826.333
car_hov3,152226188.933
car_hov3_emer,11783040.36
rail,664286.6733567485
rail_empty,307965.8239381238
subway,4733525.435243759
subway_empty,236976.7794513054
tram,8657820.528101834
tram_empty,4429314.5188021185
walk,175449999.67003173
