mode,length
bike,20248789.937
bus,29379396.035
bus_empty,30357443.083
cable_car,923594.3779403106
cable_car_empty,1203774.1214929176
car,839663103.882
car_RideHail,29202273.94
car_RideHail_Pool,150917.98400000003
car_RideHail_empty,6160573.07
car_emer,38455181.646
car_hov2,135321933.836
car_hov2_emer,11283318.055
car_hov3,94214988.23
car_hov3_emer,7344670.469
ferry,190529.15846065994
ferry_empty,668999.4762190176
rail,587998.3548497745
rail_empty,37797.483734515685
subway,7569306.040080855
subway_empty,103507.19755185286
tram,5676147.433886794
tram_empty,3200819.548784404
walk,183418066.7270243
