,mode,length,geo,scenario,Diff wrt baseline
0,Bike,15404.909857457094,SF_nocordon,baseline,0.0
1,Bus,32829.67861732139,SF_nocordon,baseline,0.0
3,Car,844790.5734443933,SF_nocordon,baseline,0.0
4,Ride-Hail,17810.00455031255,SF_nocordon,baseline,0.0
5,Ride-Hail Pooled,184.88085861284753,SF_nocordon,baseline,0.0
6,Ride-Hail Empty,6460.032316353288,SF_nocordon,baseline,0.0
8,Car HOV 2,144771.4546130712,SF_nocordon,baseline,0.0
10,Car HOV 3,94589.20360706875,SF_nocordon,baseline,0.0
12,Rail,412.76962814367914,SF_nocordon,baseline,0.0
14,Subway,2941.2836536988825,SF_nocordon,baseline,0.0
16,Tram,5379.7336349695115,SF_nocordon,baseline,0.0
18,Walk,109019.84644017532,SF_nocordon,baseline,0.0
0,Bike,18836.334409136667,SF_nocordon,flat,0.22274875889770387
1,Bus,35766.241216275,SF_nocordon,flat,0.08944841139578613
3,Car,852032.190337654,SF_nocordon,flat,0.008572085343868037
4,Ride-Hail,18071.655126325077,SF_nocordon,flat,0.01469121331627812
5,Ride-Hail Pooled,304.26089763505536,SF_nocordon,flat,0.6457133524687776
6,Ride-Hail Empty,6394.245636099271,SF_nocordon,flat,-0.010183645689740754
8,Car HOV 2,121075.91251568968,SF_nocordon,flat,-0.16367551297120206
10,Car HOV 3,83883.49097953198,SF_nocordon,flat,-0.11318112659039989
12,Rail,480.1582813790109,SF_nocordon,flat,0.1632597183528114
14,Subway,2959.2782794067057,SF_nocordon,flat,0.0061179497887575525
16,Tram,5607.3712150273495,SF_nocordon,flat,0.04231391282611857
18,Walk,117570.71179041588,SF_nocordon,flat,0.07843402489961188
0,Bike,19116.388577926355,SF_nocordon,income-based,0.2409282984978089
1,Bus,35762.911314576166,SF_nocordon,income-based,0.0893469817796864
3,Car,881662.3635098861,SF_nocordon,income-based,0.04364607184850382
4,Ride-Hail,17979.76546037506,SF_nocordon,income-based,0.009531772413810518
5,Ride-Hail Pooled,254.08982750692832,SF_nocordon,income-based,0.37434361465731214
6,Ride-Hail Empty,6236.060219096028,SF_nocordon,income-based,-0.034670429850681174
8,Car HOV 2,122935.59415350393,SF_nocordon,income-based,-0.15082987539171788
10,Car HOV 3,81980.92121304387,SF_nocordon,income-based,-0.13329515328621128
12,Rail,475.55097523519515,SF_nocordon,income-based,0.15209778726661244
14,Subway,2955.779119061239,SF_nocordon,income-based,0.004928278625601909
16,Tram,5561.95753128071,SF_nocordon,income-based,0.03387228972206007
18,Walk,115505.0127003432,SF_nocordon,income-based,0.0594861070890118
