mode,length
bike,34946398.621
bus,82410045.965
bus_empty,85318768.551
cable_car,946715.7306839759
cable_car_empty,1180652.7687492524
car,1856352302.233
car_RideHail,47044399.462
car_RideHail_Pool,550415.306
car_RideHail_empty,14209497.526
car_emer,75055316.421
car_hov2,266969396.304
car_hov2_emer,22539537.903
car_hov3,193516461.793
car_hov3_emer,16964710.169
ferry,177561.5413892559
ferry_empty,681967.0932904216
rail,1246734.0860467413
rail_empty,219112.19370613288
subway,11606620.67926622
subway_empty,291297.89726125967
tram,13662789.662658414
tram_empty,6578181.495387425
walk,339918768.3376102
