mode,length
bike,35580227.118
bus,82289439.43
bus_empty,85439375.086
cable_car,979845.3373385923
cable_car_empty,1147523.162094636
car,1996254633.825
car_RideHail,46172212.68
car_RideHail_Pool,472168.978
car_RideHail_empty,13068393.709
car_emer,81091056.421
car_hov2,280150917.41899997
car_hov2_emer,22624529.48
car_hov3,197095056.12600002
car_hov3_emer,16768441.451
ferry,186077.27704316014
ferry_empty,673451.3576365174
rail,1239319.363977253
rail_empty,226526.91577562125
subway,11616730.220953567
subway_empty,281188.3555739134
tram,13607513.081003567
tram_empty,6633458.077042272
walk,339488164.8721901
