mode,length
bike,23163102.093
bus,31159872.175
bus_empty,28576966.943
cable_car,979845.3373385923
cable_car_empty,1147523.162094636
car,717930375.5
car_RideHail,24794117.835
car_RideHail_Pool,134349.48200000002
car_RideHail_empty,5602912.127
car_emer,28941542.14
car_hov2,103626690.198
car_hov2_emer,8366342.418
car_hov3,82566167.832
car_hov3_emer,7016150.986
ferry,186077.27704316014
ferry_empty,673451.3576365174
rail,578923.8007732532
rail_empty,46872.03781103696
subway,7591235.92333657
subway_empty,81577.31429613764
tram,5957351.1940578725
tram_empty,2919615.788613326
walk,194424479.95871875
